# file...... /home/daviddiaz/Documents/react/backend-simulador/uploads/66a7ee75e0a2800466cf3b80/records/data_solar.csv
# date...... Mon Jul 29 13:45:27 2024
# user...... daviddiaz
# host...... (null)
# target.... inverter 15
# trigger... (none)
# interval.. 5
# limit..... 0
# timestamp,P_Out, Q_Out, V_In
2009-01-01 00:00:00 PST,+0,-0,+27.2134+0i
2009-01-01 00:00:05 PST,+0,-0,+27.2134+0i
2009-01-01 00:00:10 PST,+0,-0,+27.2701+0i
2009-01-01 00:00:15 PST,+0,-0,+27.2701+0i
2009-01-01 00:00:20 PST,+0,-0,+27.2701+0i
2009-01-01 00:00:25 PST,+0,-0,+27.2701+0i
2009-01-01 00:00:30 PST,+0,-0,+27.2701+0i
2009-01-01 00:00:35 PST,+0,-0,+27.2701+0i
2009-01-01 00:00:40 PST,+0,-0,+27.2701+0i
2009-01-01 00:00:45 PST,+0,-0,+27.2701+0i
2009-01-01 00:00:50 PST,+0,-0,+27.2701+0i
2009-01-01 00:00:55 PST,+0,-0,+27.2701+0i
2009-01-01 00:01:00 PST,+0,-0,+27.2702+0i
2009-01-01 00:01:05 PST,+0,-0,+27.2703+0i
2009-01-01 00:01:10 PST,+0,-0,+27.2703+0i
2009-01-01 00:01:15 PST,+0,-0,+27.2703+0i
2009-01-01 00:01:20 PST,+0,-0,+27.2703+0i
2009-01-01 00:01:25 PST,+0,-0,+27.2703+0i
2009-01-01 00:01:30 PST,+0,-0,+27.2703+0i
2009-01-01 00:01:35 PST,+0,-0,+27.2703+0i
2009-01-01 00:01:40 PST,+0,-0,+27.2703+0i
2009-01-01 00:01:45 PST,+0,-0,+27.2703+0i
2009-01-01 00:01:50 PST,+0,-0,+27.2703+0i
2009-01-01 00:01:55 PST,+0,-0,+27.2703+0i
2009-01-01 00:02:00 PST,+0,-0,+27.2703+0i
2009-01-01 00:02:05 PST,+0,-0,+27.2704+0i
2009-01-01 00:02:10 PST,+0,-0,+27.2704+0i
2009-01-01 00:02:15 PST,+0,-0,+27.2704+0i
2009-01-01 00:02:20 PST,+0,-0,+27.2704+0i
2009-01-01 00:02:25 PST,+0,-0,+27.2704+0i
2009-01-01 00:02:30 PST,+0,-0,+27.2704+0i
2009-01-01 00:02:35 PST,+0,-0,+27.2704+0i
2009-01-01 00:02:40 PST,+0,-0,+27.2704+0i
2009-01-01 00:02:45 PST,+0,-0,+27.2704+0i
2009-01-01 00:02:50 PST,+0,-0,+27.2704+0i
2009-01-01 00:02:55 PST,+0,-0,+27.2704+0i
2009-01-01 00:03:00 PST,+0,-0,+27.2704+0i
2009-01-01 00:03:05 PST,+0,-0,+27.2705+0i
2009-01-01 00:03:10 PST,+0,-0,+27.2705+0i
2009-01-01 00:03:15 PST,+0,-0,+27.2705+0i
2009-01-01 00:03:20 PST,+0,-0,+27.2705+0i
2009-01-01 00:03:25 PST,+0,-0,+27.2705+0i
2009-01-01 00:03:30 PST,+0,-0,+27.2705+0i
2009-01-01 00:03:35 PST,+0,-0,+27.2705+0i
2009-01-01 00:03:40 PST,+0,-0,+27.2705+0i
