# file...... climate_out.csv
# date...... Wed Feb 26 16:58:11 2025
# user...... david
# host...... (null)
# target.... climate 0
# trigger... (none)
# interval.. 3600
# limit..... 120
# timestamp,temperature,solar_global,solar_direct
2010-01-01 03:00:00 PST,+32.002,+0,+0
2010-01-01 04:00:00 PST,+30.922,+0,+0
2010-01-01 05:00:00 PST,+28.942,+0,+0
2010-01-01 06:00:00 PST,+28.042,+0,+0
2010-01-01 07:00:00 PST,+30.022,+0,+0
2010-01-01 08:00:00 PST,+30.922,+4.36644,+31.1225
2010-01-01 09:00:00 PST,+33.982,+13.1922,+58.3431
2010-01-01 10:00:00 PST,+37.042,+21.2748,+68.4695
2010-01-01 11:00:00 PST,+39.022,+26.4774,+72.5573
2010-01-01 12:00:00 PST,+41.002,+27.5922,+72.7431
2010-01-01 13:00:00 PST,+42.082,+23.969,+68.8412
2010-01-01 14:00:00 PST,+41.002,+16.3509,+57.507
2010-01-01 15:00:00 PST,+39.022,+6.96773,+40.4128
2010-01-01 16:00:00 PST,+35.062,+0.743224,+5.20257
2010-01-01 17:00:00 PST,+33.982,+0,+0
2010-01-01 18:00:00 PST,+33.982,+0,+0
2010-01-01 19:00:00 PST,+33.082,+0,+0
2010-01-01 20:00:00 PST,+30.922,+0,+0
2010-01-01 21:00:00 PST,+30.922,+0,+0
2010-01-01 22:00:00 PST,+30.922,+0,+0
2010-01-01 23:00:00 PST,+30.922,+0,+0
2010-01-02 00:00:00 PST,+32.002,+0,+0
2010-01-02 01:00:00 PST,+30.022,+0,+0
2010-01-02 02:00:00 PST,+28.942,+0,+0
2010-01-02 03:00:00 PST,+30.922,+0,+0
2010-01-02 04:00:00 PST,+28.942,+0,+0
2010-01-02 05:00:00 PST,+24.082,+0,+0
2010-01-02 06:00:00 PST,+28.942,+0,+0
2010-01-02 07:00:00 PST,+26.062,+0,+0
2010-01-02 08:00:00 PST,+28.942,+3.90193,+36.7896
2010-01-02 09:00:00 PST,+33.082,+14.0284,+63.1741
2010-01-02 10:00:00 PST,+33.982,+23.04,+73.3005
2010-01-02 11:00:00 PST,+35.962,+28.707,+78.4102
2010-01-02 12:00:00 PST,+37.942,+29.729,+79.2463
2010-01-02 13:00:00 PST,+39.022,+25.9199,+76.3663
2010-01-02 14:00:00 PST,+39.022,+18.3019,+69.2128
2010-01-02 15:00:00 PST,+37.942,+7.98966,+51.4683
2010-01-02 16:00:00 PST,+33.982,+1.57935,+11.8916
2010-01-02 17:00:00 PST,+33.082,+0,+0
2010-01-02 18:00:00 PST,+32.002,+0,+0
2010-01-02 19:00:00 PST,+30.022,+0,+0
2010-01-02 20:00:00 PST,+28.942,+0,+0
2010-01-02 21:00:00 PST,+30.022,+0,+0
2010-01-02 22:00:00 PST,+30.922,+0,+0
2010-01-02 23:00:00 PST,+30.022,+0,+0
2010-01-03 00:00:00 PST,+30.022,+0,+0
2010-01-03 01:00:00 PST,+30.022,+0,+0
2010-01-03 02:00:00 PST,+30.022,+0,+0
# end of tape
