# file...... /home/david/Documents/react/API-SIMULADOR-BACK/uploads/675a10d1f6d4b59589a23158/records/meter_powers.csv
# date...... Wed Dec 11 17:25:47 2024
# user...... david
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,branch_1_meter_1a:measured_power_A.real,branch_1_meter_1a:measured_power_A.imag,branch_1_meter_1b:measured_power_A.real,branch_1_meter_1b:measured_power_A.imag, branch_2_meter_1:measured_power_A, branch_1_meter_2:measured_power_A, branch_2_meter_2:measured_power_A, branch_1_meter_3:measured_power_A, branch_2_meter_3:measured_power_A
2009-01-01 00:00:00 PST,+141493,-10869.3,+135971,-10110.6,+1.6186e+06+224604j,+1.08114e+06+140643j,+1.0711e+06+137760j,+535162+60044.1j,+530213+58696.7j
2009-01-01 00:01:00 PST,+146988,-11942,+141213,-11236.6,+1.71909e+06+254619j,+1.14856e+06+160279j,+1.13741e+06+157001j,+568415+69226.1j,+562914+67692.2j
2009-01-01 00:02:00 PST,+152573,-12960.4,+146541,-12315,+1.82233e+06+286116j,+1.21782e+06+180895j,+1.20552e+06+177202j,+602569+78876.9j,+596503+77147.4j
2009-01-01 00:03:00 PST,+149542,-12416.5,+143649,-11737.8,+1.76616e+06+268901j,+1.18014e+06+169626j,+1.16847e+06+166160j,+583990+73600.5j,+578231+71977.9j
2009-01-01 00:04:00 PST,+150845,-12652.7,+144892,-11988.2,+1.79026e+06+276265j,+1.19631e+06+174446j,+1.18437e+06+170883j,+591962+75857j,+586071+74188.6j
2009-01-01 00:05:00 PST,+148070,-12144.9,+142245,-11450.6,+1.73901e+06+260645j,+1.16192e+06+164223j,+1.15055e+06+160865j,+575005+71071.5j,+569395+69500.2j
2009-01-01 00:06:00 PST,+152995,-13034.6,+146943,-12393.9,+1.83017e+06+288536j,+1.22309e+06+182479j,+1.2107e+06+178754j,+605164+79618.8j,+599055+77874.3j
2009-01-01 00:07:00 PST,+142852,-11141.5,+137268,-10395.4,+1.64336e+06+231937j,+1.09775e+06+145440j,+1.08744e+06+142460j,+543356+62286.1j,+538271+60893.2j
2009-01-01 00:08:00 PST,+144573,-11479.4,+138909,-10749.9,+1.67479e+06+241304j,+1.11884e+06+151567j,+1.10818e+06+148464j,+553755+65151.2j,+548498+63700j
2009-01-01 00:09:00 PST,+149082,-12332.2,+143211,-11648.6,+1.75768e+06+266317j,+1.17445e+06+167935j,+1.16287e+06+164502j,+581182+72808.7j,+575470+71202.1j
2009-01-01 00:10:00 PST,+150770,-12639.4,+144821,-11974,+1.78889e+06+275845j,+1.19539e+06+174171j,+1.18346e+06+170613j,+591508+75728.3j,+585625+74062.6j
2009-01-01 00:11:00 PST,+146458,-11841.7,+140708,-11130.9,+1.70935e+06+251682j,+1.14203e+06+158357j,+1.13098e+06+155117j,+565193+68327.1j,+559746+66811.5j
2009-01-01 00:12:00 PST,+148183,-12165.9,+142353,-11472.8,+1.74109e+06+261276j,+1.16332e+06+164636j,+1.15192e+06+161270j,+575693+71264.8j,+570072+69689.6j
2009-01-01 00:13:00 PST,+148934,-12304.9,+143069,-11619.8,+1.75494e+06+265482j,+1.17262e+06+167389j,+1.16106e+06+163967j,+580276+72553.5j,+574579+70952.2j
2009-01-01 00:14:00 PST,+141625,-10896,+136097,-10138.4,+1.62101e+06+225314j,+1.08275e+06+141107j,+1.07269e+06+138215j,+535957+60261.1j,+530995+58909.3j
2009-01-01 00:15:00 PST,+148097,-12149.8,+142271,-11455.9,+1.7395e+06+260795j,+1.16226e+06+164321j,+1.15088e+06+160961j,+575168+71117.3j,+569556+69545j
2009-01-01 00:16:00 PST,+142720,-11115.1,+137142,-10367.8,+1.64094e+06+231219j,+1.09613e+06+144970j,+1.08584e+06+141999j,+542555+62066.4j,+537483+60677.9j
2009-01-01 00:17:00 PST,+153198,-13070,+147137,-12431.6,+1.83394e+06+289698j,+1.22561e+06+183240j,+1.21318e+06+179500j,+606409+79975.1j,+600280+78223.4j
2009-01-01 00:18:00 PST,+146442,-11838.6,+140692,-11127.7,+1.70906e+06+251592j,+1.14183e+06+158299j,+1.13079e+06+155060j,+565095+68299.7j,+559649+66784.6j
2009-01-01 00:19:00 PST,+148635,-12249.7,+142784,-11561.5,+1.74943e+06+263808j,+1.16892e+06+166293j,+1.15743e+06+162893j,+578452+72040.2j,+572786+70449.2j
2009-01-01 00:20:00 PST,+152087,-12874.5,+146077,-12223.7,+1.81329e+06+283335j,+1.21176e+06+179074j,+1.19956e+06+175418j,+599581+78024.1j,+593564+76311.9j
2009-01-01 00:21:00 PST,+154092,-13225.3,+147989,-12597.1,+1.85058e+06+294845j,+1.23678e+06+186610j,+1.22416e+06+182802j,+611914+81553.7j,+605693+79770.1j
2009-01-01 00:22:00 PST,+144784,-11520.5,+139111,-10793.1,+1.67867e+06+242464j,+1.12144e+06+152326j,+1.11074e+06+149208j,+555038+65506.2j,+549760+64047.8j
2009-01-01 00:23:00 PST,+156612,-13653.9,+150393,-13055.3,+1.89763e+06+309482j,+1.26834e+06+196195j,+1.2552e+06+192195j,+627477+86044.7j,+620998+84170.2j
2009-01-01 00:24:00 PST,+154849,-13355.5,+148712,-12736.1,+1.86469e+06+299223j,+1.24624e+06+189477j,+1.23347e+06+185612j,+616583+82896.9j,+610285+81086.1j
2009-01-01 00:25:00 PST,+151087,-12696.2,+145123,-12034.3,+1.79475e+06+277639j,+1.19932e+06+175346j,+1.18733e+06+171764j,+593446+76278.3j,+587531+74601.4j
