# file...... /home/david/Documents/react/API-SIMULADOR-BACK/uploads/675a10d1f6d4b59589a23158/records/meter_voltages.csv
# date...... Wed Dec 11 17:25:47 2024
# user...... david
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,branch_1_meter_1a:measured_voltage_A.real,branch_1_meter_1a:measured_voltage_A.imag,branch_1_meter_1b:measured_voltage_A, branch_1_meter_1b:measured_voltage_A.real,branch_1_meter_1b:measured_voltage_A.imag,branch_2_meter_1:measured_voltage_A, branch_1_meter_2:measured_voltage_A, branch_2_meter_2:measured_voltage_A, branch_1_meter_3:measured_voltage_A, branch_2_meter_3:measured_voltage_A
2009-01-01 00:00:00 PST,+7097.08,-388.71,+7097.08-388.71j,+7097.08,-388.71,+7054.25-458.812j,+7043.26-539.868j,+6999.33-608.877j,+6959.35-764.613j,+6913.77-831.96j
2009-01-01 00:01:00 PST,+7351.71,-396.398,+7351.71-396.398j,+7351.71,-396.398,+7305.7-469.739j,+7295.17-551.186j,+7248.02-623.358j,+7207.15-781.282j,+7158.34-851.675j
2009-01-01 00:02:00 PST,+7605.74,-404.102,+7605.74-404.101j,+7605.74,-404.101,+7556.6-480.652j,+7546.46-562.515j,+7496.18-637.818j,+7454.33-797.954j,+7402.36-871.365j
2009-01-01 00:03:00 PST,+7468.46,-399.934,+7468.46-399.934j,+7468.46,-399.934,+7421-474.753j,+7410.66-556.388j,+7362.06-630.001j,+7320.75-788.939j,+7270.48-860.721j
2009-01-01 00:04:00 PST,+7527.62,-401.729,+7527.62-401.729j,+7527.62,-401.729,+7479.43-477.295j,+7469.19-559.028j,+7419.86-633.37j,+7378.32-792.823j,+7327.32-865.308j
2009-01-01 00:05:00 PST,+7401.3,-397.899,+7401.3-397.899j,+7401.3,-397.899,+7354.67-471.868j,+7344.22-553.395j,+7296.46-626.179j,+7255.4-784.533j,+7205.97-855.517j
2009-01-01 00:06:00 PST,+7624.75,-404.68,+7624.75-404.679j,+7624.75,-404.679,+7575.37-481.469j,+7565.27-563.365j,+7514.75-638.902j,+7472.83-799.204j,+7420.62-872.84j
2009-01-01 00:07:00 PST,+7160.53,-390.623,+7160.53-390.623j,+7160.53,-390.623,+7116.9-461.534j,+7106.03-542.685j,+7061.29-612.485j,+7021.1-768.763j,+6974.72-836.871j
2009-01-01 00:08:00 PST,+7240.39,-393.033,+7240.39-393.032j,+7240.39,-393.032,+7195.76-464.961j,+7185.03-546.233j,+7139.29-617.025j,+7098.81-773.989j,+7051.41-843.053j
2009-01-01 00:09:00 PST,+7447.53,-399.3,+7447.53-399.3j,+7447.53,-399.3,+7400.32-473.854j,+7389.95-555.455j,+7341.62-628.811j,+7300.39-787.566j,+7250.38-859.1j
