# file...... /home/david/Documents/react/API-SIMULADOR-BACK/uploads/675a10d1f6d4b59589a23158/records/substation_data.csv
# date...... Wed Dec 11 17:25:47 2024
# user...... david
# host...... (null)
# target.... meter 11
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_voltage_A, measured_current_A, measured_power_A
2009-01-01 00:00:00 PST,+7214.09-5.52386j,+416.643-77.3026j,+3.00613e+06+555366j
2009-01-01 00:01:00 PST,+7473.76-5.64459j,+426.263-82.4139j,+3.18625e+06+613535j
2009-01-01 00:02:00 PST,+7732.88-5.76533j,+435.888-87.5588j,+3.37117e+06+674568j
2009-01-01 00:03:00 PST,+7592.83-5.70004j,+430.682-84.7728j,+3.27058e+06+641211j
2009-01-01 00:04:00 PST,+7653.18-5.72817j,+432.925-85.972j,+3.31375e+06+655480j
2009-01-01 00:05:00 PST,+7524.33-5.66814j,+428.139-83.4146j,+3.22193e+06+625212j
2009-01-01 00:06:00 PST,+7752.27-5.77438j,+436.609-87.9456j,+3.38522e+06+679256j
2009-01-01 00:07:00 PST,+7278.79-5.55392j,+419.038-78.5716j,+3.05053e+06+569579j
2009-01-01 00:08:00 PST,+7360.22-5.59177j,+422.054-80.1733j,+3.10686e+06+587733j
2009-01-01 00:09:00 PST,+7571.48-5.6901j,+429.89-84.3493j,+3.25539e+06+636204j
2009-01-01 00:10:00 PST,+7649.76-5.72658j,+432.798-85.904j,+3.31129e+06+654666j
2009-01-01 00:11:00 PST,+7448.93-5.63303j,+425.342-81.9231j,+3.1688e+06+607843j
2009-01-01 00:12:00 PST,+7529.6-5.67059j,+428.335-83.5191j,+3.22567e+06+626436j
2009-01-01 00:13:00 PST,+7564.58-5.68689j,+429.634-84.2121j,+3.25048e+06+634586j
2009-01-01 00:14:00 PST,+7220.39-5.52679j,+416.877-77.4261j,+3.01044e+06+556743j
2009-01-01 00:15:00 PST,+7525.58-5.66872j,+428.186-83.4395j,+3.22282e+06+625503j
2009-01-01 00:16:00 PST,+7272.49-5.55099j,+418.804-78.4479j,+3.04619e+06+568187j
2009-01-01 00:17:00 PST,+7761.56-5.7787j,+436.954-88.1309j,+3.39196e+06+681508j
2009-01-01 00:18:00 PST,+7448.17-5.63269j,+425.314-81.908j,+3.16827e+06+607669j
