# file...... /home/david/Documents/react/API-SIMULADOR-BACK/uploads/675b4004020de2aa6924ec97/records/climate_out.csv
# date...... Wed Feb 26 11:21:42 2025
# user...... david
# host...... (null)
# target.... climate 0
# trigger... (none)
# interval.. 3600
# limit..... 120
# timestamp,temperature,solar_global,solar_direct
2024-06-29 00:00:00 PDT,+64.042,+0,+0
2024-06-29 01:00:00 PDT,+62.962,+0,+0
2024-06-29 02:00:00 PDT,+62.962,+0,+0
2024-06-29 03:00:00 PDT,+62.062,+0,+0
2024-06-29 04:00:00 PDT,+53.962,+1.11484,+0
2024-06-29 05:00:00 PDT,+62.062,+3.34451,+0.278709
2024-06-29 06:00:00 PDT,+62.062,+8.91869,+0.371612
2024-06-29 07:00:00 PDT,+62.062,+18.209,+0.371612
2024-06-29 08:00:00 PDT,+62.962,+23.7832,+0.185806
2024-06-29 09:00:00 PDT,+64.042,+31.0296,+0.278709
2024-06-29 10:00:00 PDT,+64.042,+34.8386,+0.278709
2024-06-29 11:00:00 PDT,+64.042,+62.6166,+24.4335
2024-06-29 12:00:00 PDT,+69.982,+57.2283,+21.9251
2024-06-29 13:00:00 PDT,+71.062,+32.5161,+0.278709
2024-06-29 14:00:00 PDT,+71.962,+30.4722,+0.92903
2024-06-29 15:00:00 PDT,+69.082,+33.4451,+0.278709
2024-06-29 16:00:00 PDT,+68.002,+22.4825,+1.39355
2024-06-29 17:00:00 PDT,+69.082,+28.7999,+42.4567
2024-06-29 18:00:00 PDT,+69.082,+12.7277,+25.6412
2024-06-29 19:00:00 PDT,+66.022,+2.87999,+1.95096
2024-06-29 20:00:00 PDT,+60.982,+0,+0
2024-06-29 21:00:00 PDT,+60.982,+0,+0
2024-06-29 22:00:00 PDT,+60.082,+0,+0
2024-06-29 23:00:00 PDT,+57.922,+0,+0
# end of tape
