# file...... /home/david/Documents/react/API-SIMULADOR-BACK/uploads/675b4004020de2aa6924ec97/records/network_data.csv
# date...... Wed Feb 26 11:21:42 2025
# user...... david
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,tn_B_645:measured_real_power, CTTF_B_645:power_in, substation_transformer:power_in, network_node:measured_real_power
2024-06-29 00:00:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:01:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:02:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:03:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:04:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:05:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:06:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:07:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:08:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:09:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:10:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:11:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:12:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:13:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:14:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:15:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:16:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:17:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:18:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:19:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:20:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:21:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:22:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:23:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:24:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:25:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:26:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:27:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:28:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:29:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:30:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:31:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:32:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:33:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:34:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:35:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:36:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:37:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:38:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:39:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:40:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:41:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:42:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:43:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:44:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:45:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:46:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:47:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:48:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:49:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:50:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:51:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:52:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:53:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:54:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:55:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:56:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:57:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:58:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 00:59:00 PDT,+0,+11+11j,+11+11j,+9.37501e+06
2024-06-29 01:00:00 PDT,-513.26,-502.259+10.9997j,-502.259+10.9998j,+9.04285e+06
2024-06-29 01:01:00 PDT,-513.259,-502.258+11.0051j,-502.258+11.0052j,+9.04285e+06
2024-06-29 01:02:00 PDT,-513.259,-502.258+11.0051j,-502.258+11.0052j,+9.04285e+06
2024-06-29 01:03:00 PDT,-852.78,-841.778+11.0083j,-841.777+11.0086j,+9.03756e+06
2024-06-29 01:04:00 PDT,-852.779,-841.777+11.0143j,-841.777+11.0146j,+9.03756e+06
2024-06-29 01:05:00 PDT,-852.779,-841.777+11.0143j,-841.777+11.0146j,+9.03756e+06
2024-06-29 01:06:00 PDT,-1105.92,-1094.92+11.0184j,-1094.92+11.0189j,+9.03569e+06
2024-06-29 01:07:00 PDT,-1105.92,-1094.92+11.0241j,-1094.92+11.0246j,+9.03569e+06
2024-06-29 01:08:00 PDT,-1105.92,-1094.92+11.0241j,-1094.92+11.0246j,+9.03569e+06
2024-06-29 01:09:00 PDT,-220.849,-209.848+11.0049j,-209.848+11.0049j,+9.03397e+06
2024-06-29 01:10:00 PDT,-220.849,-209.849+11.0009j,-209.849+11.0009j,+9.03397e+06
2024-06-29 01:11:00 PDT,-220.849,-209.849+11.0009j,-209.849+11.0009j,+9.03397e+06
2024-06-29 01:12:00 PDT,-1797.82,-1786.81+11.0061j,-1786.81+11.0075j,+9.02975e+06
2024-06-29 01:13:00 PDT,-1797.81,-1786.8+11.064j,-1786.8+11.0655j,+9.02975e+06
2024-06-29 01:14:00 PDT,-1797.81,-1786.8+11.064j,-1786.8+11.0655j,+9.02975e+06
2024-06-29 01:15:00 PDT,-1510.66,-1499.65+11.054j,-1499.65+11.055j,+9.02918e+06
