# file...... /home/david/Documents/react/API-SIMULADOR-BACK/uploads/680848899f1dcb33bb8ac5cf/records/Inv_out.csv
# date...... Thu May  1 02:05:41 2025
# user...... david
# host...... (null)
# target.... inverter 9
# trigger... (none)
# interval.. 120
# limit..... 0
# timestamp,V_In, I_In, P_Out, Q_Out
2010-01-01 03:00:00 PST,+27.2418+0j,+0+0j,+0,+0
2010-01-01 03:02:00 PST,+27.2418+0j,+0+0j,+0,+0
2010-01-01 03:04:00 PST,+27.2418+0j,+0+0j,+0,+0
2010-01-01 03:06:00 PST,+27.2418+0j,+0+0j,+0,+0
2010-01-01 03:08:00 PST,+27.2418+0j,+0+0j,+0,+0
2010-01-01 03:10:00 PST,+27.2418+0j,+0+0j,+0,+0
2010-01-01 03:12:00 PST,+27.2418+0j,+0+0j,+0,+0
2010-01-01 03:14:00 PST,+27.2418+0j,+0+0j,+0,+0
2010-01-01 03:16:00 PST,+27.2418+0j,+0+0j,+0,+0
2010-01-01 03:18:00 PST,+27.2418+0j,+0+0j,+0,+0
2010-01-01 03:20:00 PST,+27.2418+0j,+0+0j,+0,+0
2010-01-01 03:22:00 PST,+27.2418+0j,+0+0j,+0,+0
2010-01-01 03:24:00 PST,+27.2418+0j,+0+0j,+0,+0
2010-01-01 03:26:00 PST,+27.2418+0j,+0+0j,+0,+0
2010-01-01 03:28:00 PST,+27.2418+0j,+0+0j,+0,+0
2010-01-01 03:30:00 PST,+27.2418+0j,+0+0j,+0,+0
2010-01-01 03:32:00 PST,+27.2418+0j,+0+0j,+0,+0
2010-01-01 03:34:00 PST,+27.2418+0j,+0+0j,+0,+0
2010-01-01 03:36:00 PST,+27.2418+0j,+0+0j,+0,+0
2010-01-01 03:38:00 PST,+27.2418+0j,+0+0j,+0,+0
2010-01-01 03:40:00 PST,+27.2418+0j,+0+0j,+0,+0
2010-01-01 03:42:00 PST,+27.2418+0j,+0+0j,+0,+0
2010-01-01 03:44:00 PST,+27.2418+0j,+0+0j,+0,+0
2010-01-01 03:46:00 PST,+27.2418+0j,+0+0j,+0,+0
