# file...... /home/david/Documents/react/API-SIMULADOR-BACK/uploads/680848899f1dcb33bb8ac5cf/records/network_node_data.csv
# date...... Thu May  1 02:05:41 2025
# user...... david
# host...... (null)
# trigger... (none)
# interval.. 120
# limit..... 0
# timestamp,network_node:voltage_A, network_node:voltage_B, CTTF_B_645:power_in, CTTF_B_645:power_out
2010-01-01 03:00:00 PST,+33000+0j,-16500-28578.8j,-1082.9-1861.15j,-1282.47-2375.06j
2010-01-01 03:02:00 PST,+33000+0j,-16500-28578.8j,-2.96559e+08-5.40928e+08j,-1.40566e+09-7.933e+09j
2010-01-01 03:04:00 PST,+33000+0j,-16500-28578.8j,+7.49076e+11-2.58147e+12j,-3.66205e+16-9.76678e+16j
2010-01-01 03:06:00 PST,+33000+0j,-16500-28578.8j,+2.37116e+18+2.90525e+20j,-2.16048e+23-1.43974e+24j
2010-01-01 03:08:00 PST,+33000+0j,-16500-28578.8j,+3.84659e+26-3.43707e+26j,-7.1339e+30-1.90266e+31j
2010-01-01 03:10:00 PST,+33000+0j,-16500-28578.8j,+2.04904e+33+6.46737e+34j,-4.2088e+37-2.80485e+38j
2010-01-01 03:12:00 PST,+33000+0j,-16500-28578.8j,+1.02726e+41-1.27826e+40j,-1.38984e+45-3.70684e+45j
2010-01-01 03:14:00 PST,+33000+0j,-16500-28578.8j,+6.25258e+47+1.34418e+49j,-8.19998e+51-5.46469e+52j
2010-01-01 03:16:00 PST,+33000+0j,-16500-28578.8j,+2.0835e+55+9.72146e+54j,-2.70789e+59-7.22226e+59j
2010-01-01 03:18:00 PST,+33000+0j,-16500-28578.8j,+9.83127e+61+2.79067e+63j,-1.59783e+66-1.06475e+67j
2010-01-01 03:20:00 PST,+33000+0j,-16500-28578.8j,+3.24233e+69+4.21074e+69j,-5.27622e+73-1.40724e+74j
2010-01-01 03:22:00 PST,+33000+0j,-16500-28578.8j,+1.20084e+75+5.73498e+77j,-3.11394e+80-2.07469e+81j
2010-01-01 03:24:00 PST,+33000+0j,-16500-28578.8j,+2.97531e+83+1.18221e+84j,-1.02811e+88-2.74214e+88j
2010-01-01 03:26:00 PST,+33000+0j,-16500-28578.8j,-5.43372e+90+1.15793e+92j,-6.06925e+94-4.04276e+95j
2010-01-01 03:28:00 PST,+33000+0j,-16500-28578.8j,-3.22015e+97+2.70349e+98j,-2.0034e+102-5.34348e+102j
2010-01-01 03:30:00 PST,+33000+0j,-16500-28578.8j,-2.42258e+105+2.28555e+106j,-1.183e+109-7.87792e+109j
2010-01-01 03:32:00 PST,+33000+0j,-16500-28578.8j,-2.60149e+112+5.28558e+112j,-3.90394e+116-1.04127e+117j
2010-01-01 03:34:00 PST,+33000+0j,-16500-28578.8j,-7.45895e+119+4.39871e+120j,-2.30583e+123-1.53513e+124j
2010-01-01 03:36:00 PST,+33000+0j,-16500-28578.8j,-8.70526e+126+8.75996e+126j,-7.60728e+130-2.02906e+131j
2010-01-01 03:38:00 PST,+33000+0j,-16500-28578.8j,-1.91246e+134+8.25229e+134j,-4.49405e+137-2.99132e+138j
2010-01-01 03:40:00 PST,+33000+0j,-16500-28578.8j,-2.24031e+141+1.13471e+141j,-1.4823e+145-3.95373e+145j
2010-01-01 03:42:00 PST,+33000+0j,-16500-28578.8j,-4.31461e+148+1.51291e+149j,-8.7577e+151-5.82854e+152j
2010-01-01 03:44:00 PST,+33000+0j,-16500-28578.8j,-4.90603e+155+7.27955e+154j,-2.88811e+159-7.70355e+159j
